Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 08-Nov-2025),Crossref citations (as of 08-Nov-2025)
A Collaborative Robot for Tea Harvesting with Adjustable Autonomy,"Po-Lun Chen, Shih-Fang Chen, Wei-Yang Hwang, Yang-Lun Lai, Tsung-Chen Su, Ping-Lang Yen",Cybernetics and Systems,53,1,p4 - p22,2022,10.1080/01969722.2021.2008678,11-Dec-2021,https://doi.org/10.1080/01969722.2021.2008678,382.0,7.0
Reactive motion planning using time-layered C-spaces for a collaborative robot PaDY,"Jun Kinugawa, Kazuhiro Kosuge, Hisaka Wada",Advanced Robotics,35,8,p490 - p503,2021,10.1080/01691864.2021.1896381,10-Mar-2021,https://doi.org/10.1080/01691864.2021.1896381,1251.0,4.0
Toward Programming a Collaborative Robot by Interacting with Its Digital Twin in a Mixed Reality Environment,"Johan Kildal, Elena Lazkano, Andoni Rivera-Pinto",International Journal of Human–Computer Interaction,,,p1 - p13,5187,10.1080/10447318.2023.2221599,14-Jun-2023,https://doi.org/10.1080/10447318.2023.2221599,2357.0,8.0
Would You be Willing to Share Knowledge with a Collaborative Robot? The Mediating Effect of Perceived Agency and the Moderating Effect of Identity Threat,"Chaoyu Chen, Qin Chen, Shilong Liao, Yingru Yao",International Journal of Human–Computer Interaction,41,16,p10060 - p10085,2025,10.1080/10447318.2024.2430911,11-Dec-2024,https://doi.org/10.1080/10447318.2024.2430911,655.0,2.0
The Impacts of Human-Cobot Collaboration on Perceived Cognitive Load and Usability during an Industrial Task: An Exploratory Experiment,"Humbert Fiorino, Étienne Fournier, Belal Hmedan, Christine Jeoffrion, Dorilys Kilgus, Aurélie Landry, Damien Pellier",IISE Transactions on Occupational Ergonomics and Human Factors,10,2,p83 - p90,2022,10.1080/24725838.2022.2072021,12-May-2022,https://doi.org/10.1080/24725838.2022.2072021,1062.0,32.0
Mapping Technological Profile of Collaborative Robots by Patent Analysis,"Izaskun Alvarez-Meaza, Jon Borregan-Alvarado, Ernesto Cilleruelo-Carrasco, Gaizka Garechana-Anacabe",International Journal of Human–Computer Interaction,39,20,p3920 - p3935,2023,10.1080/10447318.2022.2108640,21-Aug-2022,https://doi.org/10.1080/10447318.2022.2108640,415.0,2.0
An Image-Based Human-Robot Collision Avoidance Scheme: A Proof of Concept,"Li Li, Lu Lu, Hanwen Wang, Ziyang Xie, Xu Xu",IISE Transactions on Occupational Ergonomics and Human Factors,12,1-2,p112 - p122,2024,10.1080/24725838.2023.2222651,22-Jun-2023,https://doi.org/10.1080/24725838.2023.2222651,227.0,3.0
Smart CPS: vertical integration overview and user story with a cobot,"Mircea Murar, Levente Tamas",International Journal of Computer Integrated Manufacturing,32,4-5,p504 - p521,2019,10.1080/0951192x.2018.1535196,22-Oct-2018,https://doi.org/10.1080/0951192x.2018.1535196,850.0,21.0
Development of a collaborative robotic system to polish leather surfaces,"Jorge Borrell, Alejandra González, Luis Gracia, Carlos Perez-Vidal, J Ernesto Solanes",International Journal of Computer Integrated Manufacturing,37,3,p285 - p303,2024,10.1080/0951192x.2023.2209874,11-May-2023,https://doi.org/10.1080/0951192x.2023.2209874,280.0,4.0
Automation of product packaging for industrial applications,"J M Azorin, L Gracia, C Perez-Vidal, M Wirkus, J de Gea, J M de Paco",International Journal of Computer Integrated Manufacturing,31,2,p129 - p137,2018,10.1080/0951192x.2017.1369165,30-Aug-2017,https://doi.org/10.1080/0951192x.2017.1369165,655.0,8.0
"The Effects of Type and Form of Collaborative Robots in Manufacturing on Trustworthiness, Risk Perceived, and Acceptance","Runyu L Greene, Li Liu, Zishuai Zou",International Journal of Human–Computer Interaction,40,10,p2697 - p2710,2024,10.1080/10447318.2023.2169527,01-Feb-2023,https://doi.org/10.1080/10447318.2023.2169527,898.0,15.0
Cyber collaborative warehouse with dual-cycle operations design,"Puwadol Oak Dusadeerungsikul, Shimon Y Nof",International Journal of Production Research,61,19,p6552 - p6564,2023,10.1080/00207543.2022.2132313,21-Oct-2022,https://doi.org/10.1080/00207543.2022.2132313,517.0,2.0
Reconfigurable machine tending with collaborative robots: leveraging ISO 21919 for enhancing flexibility and safety,"Dongjun Kim, Minji Kim, Dongyoon Lee, Jaehak Lee, Jumyung Um",International Journal of Computer Integrated Manufacturing,,,p1 - p20,5187,10.1080/0951192x.2025.2496901,28-Apr-2025,https://doi.org/10.1080/0951192x.2025.2496901,93.0,0.0
"Assessing Cobot's Acceptability of French Workers: Proposition of a Model Integrating the TAM3, the ELSI and the Meaning of Work Scales","Emma Cippelletti, Étienne Fournier, Christine Jeoffrion, Aurélie Landry",International Journal of Human–Computer Interaction,41,5,p2763 - p2775,2025,10.1080/10447318.2024.2384832,06-Aug-2024,https://doi.org/10.1080/10447318.2024.2384832,243.0,1.0
Forming a view: a human factors case study of augmented reality collaboration in assembly,"Ann-Louise Hordacre, Sara Howard, Ryan Jang, Kosta Manning, Valerie O'Keeffe, John Spoehr, Robert Trott",Ergonomics,67,12,p1828 - p1844,2024,10.1080/00140139.2024.2352733,15-May-2024,https://doi.org/10.1080/00140139.2024.2352733,2190.0,4.0
Task allocation of human-robot collaborative assembly line considering assembly complexity and workload balance,"Min Cai, Xinggang Luo, Gen Wang, Xueqi Xu",International Journal of Production Research,63,13,p4749 - p4775,2025,10.1080/00207543.2024.2442546,08-Jan-2025,https://doi.org/10.1080/00207543.2024.2442546,571.0,1.0
Security and safety assurance of collaborative manufacturing in industry 4.0,"Z M Bi, M Chamberlin, Bin Chen, T Enterline, C Malott, Chong Wu, Lida Xu",Enterprise Information Systems,16,12,,2022,10.1080/17517575.2021.2008512,05-Dec-2021,https://doi.org/10.1080/17517575.2021.2008512,943.0,25.0
Collision-free path planning based on new navigation function for an industrial robotic manipulator in human-robot coexistence environments,"Chun-Chieh Chan, Ching-Chih Tsai",Journal of the Chinese Institute of Engineers,43,6,p508 - p518,2020,10.1080/02533839.2020.1771210,24-Jun-2020,https://doi.org/10.1080/02533839.2020.1771210,281.0,6.0
Towards smarter workplaces: integrating real-time cognitive feedback in collaborative robotics,"Giovanni Boschetti, Martina Calzavara, Maurizio Faccio, Irene Granata, Teresa Sinico, Alberto Trevisani",International Journal of Production Research,,,p1 - p19,5187,10.1080/00207543.2025.2561188,16-Sep-2025,https://doi.org/10.1080/00207543.2025.2561188,142.0,0.0
A framework for cyber-physical production system management and digital twin feedback monitoring for fast failure recovery,"Diego Borro, Paolo Franceschi, Stefano Mutti, Kiara Ottogalli, Nicola Pedrocchi, Daniel Rosquete",International Journal of Computer Integrated Manufacturing,35,6,p619 - p632,2022,10.1080/0951192x.2021.1992666,01-Nov-2021,https://doi.org/10.1080/0951192x.2021.1992666,782.0,18.0
Virtual reality in manufacturing: immersive and collaborative artificial-reality in design of human-robot workspace,"Arne Bilberg, Ali Ahmad Malik, Tariq Masood",International Journal of Computer Integrated Manufacturing,33,1,p22 - p37,2020,10.1080/0951192x.2019.1690685,26-Nov-2019,https://doi.org/10.1080/0951192x.2019.1690685,4436.0,160.0
Human-robot activity allocation algorithm for the redesign of manual assembly systems into human-robot collaborative assembly,"Luca Gualtieri, Erwin Rauch, Renato Vidoni",International Journal of Computer Integrated Manufacturing,36,2,p308 - p333,2023,10.1080/0951192x.2022.2083687,30-Jun-2022,https://doi.org/10.1080/0951192x.2022.2083687,1197.0,26.0
Practical evaluation and consideration of viscoelastic covering materials based on simple contact detection for human robot collaboration and harmonization,"Yuto Okawa, Kazutsugu Suita",Advanced Robotics,39,19-20,p1201 - p1209,2025,10.1080/01691864.2025.2538178,30-Jul-2025,https://doi.org/10.1080/01691864.2025.2538178,374.0,0.0
Development of 6-DOF manipulator driven by ceramics reinforced hydrostatic actuators and its experimental evaluations on force control and payload abilities,"Yutaro Imashiro, Mitsuo Komagata, Yoshihiko Nakamura, Kento Oishi, Ryoya Suzuki, Ko Yamamoto",Advanced Robotics,38,8,p511 - p523,2024,10.1080/01691864.2024.2337173,09-Apr-2024,https://doi.org/10.1080/01691864.2024.2337173,190.0,4.0
Fast inline inspection: vision system for geometric deviation measurement and early defect detection in smart manufacturing,"Horacio Ahuett-Garza, Pedro Orta-Castanon, Christopher Saldana, Alberto Vazquez-Nava",International Journal of Computer Integrated Manufacturing,,,p1 - p24,5187,10.1080/0951192x.2025.2503316,10-May-2025,https://doi.org/10.1080/0951192x.2025.2503316,58.0,0.0
Mental Workload and Human-Robot Interaction in Collaborative Tasks: A Scoping Review,"Marta Bassi, Claudia Carissoli, Antonella Delle Fave, Luca Negri, Fabio Alexander Storm",International Journal of Human–Computer Interaction,40,20,p6458 - p6477,2024,10.1080/10447318.2023.2254639,20-Sep-2023,https://doi.org/10.1080/10447318.2023.2254639,6481.0,37.0
Multi-dimensional digital twin for cable assembly by synthetic data and reinforcement learning,"Minho Choi, Dongjun Kim, Minji Kim, Junhyuck Moon, Jumyung Um",International Journal of Computer Integrated Manufacturing,,,p1 - p22,5187,10.1080/0951192x.2025.2534600,26-Jul-2025,https://doi.org/10.1080/0951192x.2025.2534600,60.0,0.0
Deploying pickers and robots in cobot-based collaborative order picking systems,"Yeming Gong, Li Huang, Zuo-Jun Max Shen, Shanshan Song, Peng Yang",IISE Transactions,,,p1 - p20,5187,10.1080/24725854.2025.2501036,02-Jun-2025,https://doi.org/10.1080/24725854.2025.2501036,1086.0,0.0
Safety-driven optimisation of human-robot collaborative assembly line balancing,"Yuvin Chinniah, Jean-Marc Frayret, Samira Keivanpour, Mahboobe Kheirabadi",International Journal of Production Research,63,17,p6203 - p6228,2025,10.1080/00207543.2025.2469288,24-Feb-2025,https://doi.org/10.1080/00207543.2025.2469288,1103.0,5.0
Web-based simulation and motion planning for human-robot and multi-robot applications,Tudor B Ionescu,International Journal of Computer Integrated Manufacturing,38,2,p177 - p199,2025,10.1080/0951192x.2024.2314794,16-Feb-2024,https://doi.org/10.1080/0951192x.2024.2314794,1231.0,0.0
Improved dual-population genetic algorithm to solve human-robot collaborative assembly line balancing problem,"Jiahong Cai, Hongyan Shi, Haoyun Xue, Chengye Zheng",International Journal of Production Research,63,17,p6452 - p6474,2025,10.1080/00207543.2025.2473067,03-Mar-2025,https://doi.org/10.1080/00207543.2025.2473067,357.0,5.0
"Application, Development and Future Opportunities of Collaborative Robots (Cobots) in Manufacturing: A Literature Review","Vincent G Duffy, Fu Guo, Li Liu, Zishuai Zou",International Journal of Human–Computer Interaction,40,4,p915 - p932,2024,10.1080/10447318.2022.2041907,18-Apr-2022,https://doi.org/10.1080/10447318.2022.2041907,6624.0,105.0
A systematic investigation of the barriers to effective implementation of human-robot assembly line: an integrated multi-criteria decision-making approach,"Mukund Janardhanan, Marina Marinelli, Bo Tian",International Journal of Computer Integrated Manufacturing,37,1-2,p198 - p223,2024,10.1080/0951192x.2023.2278114,24-Nov-2023,https://doi.org/10.1080/0951192x.2023.2278114,2273.0,4.0
