ID,ENTRYTYPE,author,title,year,journal,booktitle,doi,url,abstract,pages
10.5555/3721488.3721770,inproceedings,"Liu, Edmond and Lim, Jong Yoon and Johnson, Vineeth and MacDonald, Bruce and Ahn, Ho Seok",SignPepper: Multimodal Social Robot for Sign Language Teaching,2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,"Sign language is an essential communication tool, however, it can be highly challenging for non-deaf students to learn. We propose a Pepper robot based sign language teaching assistant called SignPepper, with the ability to communicate in both spoken and sign language. Using Whisper speech to text and Llama 3.3, SignPepper can engage in two way spoken lessons, with the ability to physically demonstrate signs to students. Furthermore, using 3D convolutional neural networks trained on sign language recognition, SignPepper can watch, analyze and give personalized feedback on students attempts at performing newly learned signs in real-time; including hand-based error localization.",1791–1793
10.1145/3568162.3576968,inproceedings,"Zhang, Xiajie and Breazeal, Cynthia and Park, Hae Won",A Social Robot Reading Partner for Explorative Guidance,2023,,Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3568162.3576968,https://doi.org/10.1145/3568162.3576968,"Pedagogical agent research has yielded fruitful results in both academic skill learning and meta-cognitive skill acquisition, often studied in instructional or peer-to-peer paradigms. In the past decades, child-centric pedagogical research, which emphasizes the learner's active participation in learning with self-motivation, curiosity, and exploration, has attracted scholarly attention. Studies show that combining child-driven pedagogy with appropriate adult guidance leads to efficient learning and a strengthened feeling of self-efficacy. However, research on using social robots for guidance in child-driven learning still remains open and under-explored. In our study, we focus on children's exploration as the vehicle in literacy learning and develop a social robot companion that provides guidance to encourage and motivate children to explore during a storybook reading interaction. To investigate the effect of the robot's explorative guidance, we compare it against a control condition in which children have full autonomy to explore and read the storybooks. We conduct a between-subjects study with 31 children aged 4 to 6, and the result shows that children who receive explorative guidance from the social robot exhibit a growing trend of self-exploration. Further, children's self-exploration in the explorative guidance condition is found correlated to their learning outcome. We conclude the study with recommendations for designing social agents to guide children's exploration and future research directions in child-centric AI-assisted pedagogy.",341–349
10.1145/3715336.3735818,inproceedings,"Panicker, Aswati and Chung, Chia-Fang and \v{S}abanovi\'{c}, Selma",Haru in the Kitchen: Investigating Family Members’ Perceptions Toward a Social Robot Mediator of Food Experiences,2025,,Proceedings of the 2025 ACM Designing Interactive Systems Conference,10.1145/3715336.3735818,https://doi.org/10.1145/3715336.3735818,"When families live together, they often share meals, and food plays a central part in their everyday routines and rituals. When this changes and families are separated by distance, they may transition these practices to technology-mediated ones. Social robots have shown effectiveness in facilitating human-to-human interactions in various communication contexts. In this study, we explore the possibility of distant families interacting through a social robot mediator in the kitchen. We conducted 9 scenario-based interviews using the Haru social robot as a probe. Our findings highlight opportunities for food-related mediation and participants’ hesitations and concerns. We discuss how future research can address these issues, particularly in terms of how a social robot can be positioned in the family and food space, how the robot can be customized for the family’s values, and how the robot can serve as a mediator during opportune contexts (e.g., playfulness) and moments (e.g., culturally synchronous practices).",222–235
10.1145/3568162.3576957,inproceedings,"Ligthart, Mike E.U. and de Droog, Simone M. and Bossema, Marianne and Elloumi, Lamia and Hoogland, Kees and Smakman, Matthijs H.J. and Hindriks, Koen V. and Ben Allouch, Somaya",Design Specifications for a Social Robot Math Tutor,2023,,Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3568162.3576957,https://doi.org/10.1145/3568162.3576957,"To benefit from the social capabilities of a robot math tutor, instead of being distracted by them, a novel approach is needed where the math task and the robot's social behaviors are better intertwined. We present concrete design specifications of how children can practice math via a personal conversation with a social robot and how the robot can scaffold instructions. We evaluated the designs with a three-session experimental user study (n = 130, 8-11 y.o.). Participants got better at math over time when the robot scaffolded instructions. Furthermore, the robot felt more as a friend when it personalized the conversation.",321–330
10.1145/3610977.3634928,inproceedings,"Gvirsman, Omer and Gordon, Goren",Effect of Social Robot's Role and Behavior on Parent-Toddler Interaction,2024,,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3610977.3634928,https://doi.org/10.1145/3610977.3634928,"Social robots, designed to interact with people through natural communication modes like speech, body motion, gestures, and facial expressions, have been extensively studied in child-robot interaction for educational purposes. Recently, social robots have been explored in triadic parent-child-robot interactions, showing promise due to their interactivity, computational power, and physical presence, which enable multimodal natural communication and cater to toddlers' developmental stages and physical curiosity. However, these have focused only on shared reading experiences and engaged older children, rather than toddlers. We developed two games, one with two levels of robot scaffolding, and another with either structured or unstructured design. We then explored, in two studies, how a social robot's assigned role and behaviors influence the engagement of parents and toddlers with the robot and their interaction with each other. Our results show that parents affectively scaffolded their children less when the robot increased its scaffolding behaviors and that parents provided more scaffolding in a structured game with the robot, whereas in an unstructured game the dyad exhibited more cooperation in which children exhibited more independence. These findings can contribute to a better understanding of interaction design, triadic dynamics, and the role of the robot in parent-toddler-robot scenario.",222–230
10.1145/3613905.3651048,inproceedings,"Milton, Matthew Charles and FakhrHosseini, Shabnam and Lee, Chaiwoo and Coughlin, Joseph",Empowering Robot Designers: A Digital Tool for Early-Stage Social Robot Prototyping and Communication,2024,,Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,10.1145/3613905.3651048,https://doi.org/10.1145/3613905.3651048,"While social robots promise to benefit people with emotional and informational needs, persistent concerns exist around their ability to effectively manage expectations and meet user needs. In this study, a digital toolkit was developed as a possible solution to support the early-stage design of social robots and address the current absence of a structured, research-informed approach. The prototype toolkit provides an interactive and visual process to assist designers of different backgrounds and varying degrees of technical knowledge; and to guide the development team throughout iterative ideation, prototyping, and communication regarding new social robot designs. The toolkit employs established human-robot interaction principles and insights from existing research to incorporate a guiding framework in the design process. This paper presents key prototype features, an outline of the user flow, a preliminary expert evaluation of the tool’s concept and usability, and future aims.",
10.1145/3568162.3576978,inproceedings,"Michaelis, Joseph E. and Cagiltay, Bengisu and Ibtasar, Rabia and Mutlu, Bilge","""Off Script:"" Design Opportunities Emerging from Long-Term Social Robot Interactions In-the-Wild",2023,,Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3568162.3576978,https://doi.org/10.1145/3568162.3576978,"Social robots are becoming increasingly prevalent in the real world. Unsupervised user interactions in a natural and familiar setting, such as the home, can reveal novel design insights and opportunities. This paper presents an analysis and key design insights from family-robot interactions, captured via on-robot recordings during an unsupervised four-week in-home deployment of an autonomous reading companion robot for children. We analyzed interviews and 160 interaction videos involving six families who regularly interacted with a robot for four weeks. Throughout these interactions, we observed how the robot's expressions facilitated unique interactions with the child, as well as how family members interacted with the robot. In conclusion, we discuss five design opportunities derived from our analysis of natural interactions in the wild.",378–387
10.5555/3721488.3721698,inproceedings,"Li, Qinwei and Liu, Muyu and Peng, Xiaoying and Feng, Siyuan and Jin, Hangxu",ToiletPal: A Bathroom Interaction Robot to Mitigate Toilet Sedentary Behavior,2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,"Toilet sedentary behavior is an often-overlooked but harmful habit that can lead to health issues like hemorrhoids. We introduce ToiletPal, a social assistive robot that encourages users to complete bathroom sessions within an ideal timeframe. Unlike timer-based reminders, ToiletPal acts as a supportive ""toilet companion,"" using an elevatable footrest, voice, and image interactions to subtly convey the passage of time. This empathetic approach fosters user-driven behavior change, contributing to SDG 3: Good Health and Well-being by promoting healthier bathroom habits and reducing sedentary behavior.",1453–1457
10.5555/3721488.3721608,inproceedings,"Shen, Jocelyn and Lee, Audrey and Alghowinem, Sharifa and Adkins, River and Breazeal, Cynthia and Park, Hae Won",Social Robots as Social Proxies for Fostering Connection and Empathy Towards Humanity,2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,"Despite living in an increasingly connected world, social isolation is a prevalent issue today. While social robots have been explored as tools to enhance social connection through companionship, their potential as asynchronous social platforms for fostering connection towards humanity has received less attention. In this work, we introduce the design of a social support companion that facilitates the exchange of emotionally relevant stories and scaffolds reflection to enhance feelings of connection via five design dimensions. We investigate how social robots can serve as ""social proxies"" facilitating human stories, passing stories from other human narrators to the user. To this end, we conduct a real-world deployment of 40 robot stations in users' homes over the course of two weeks. Through thematic analysis of user interviews, we find that social proxy robots can foster connection towards other people's experiences via mechanisms such as identifying connections across stories or offering diverse perspectives. We present design guidelines from our study insights on the use of social robot systems that serve as social platforms to enhance human empathy and connection.",989–999
10.5555/3721488.3721648,inproceedings,"An, Dong and Rittenbruch, Markus and Razayan, Leo",The Design of Extended Reality-enabled Tangible Interaction to Enhance the Interaction with Collaborative Robots,2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,"Collaborative robots (cobots) are increasingly employed in manufacturing to enhance productivity and efficiency, particularly by performing repetitive or precise tasks, allowing workers to focus on more complex activities. However, the growing adoption of cobots in dynamic environments, such as small and medium-sized enterprises (SMEs), poses challenges in designing flexible and user-friendly interaction models. This research addresses these challenges by integrating tangible interaction and Extended Reality (XR) technologies to develop innovative interaction methods for human-robot collaboration in metalworking. The tangible interaction leverages users' familiarity with physical objects, while XR provides immersive, real-time visual overlays to enhance task execution and decision-making. A co-design methodology is employed, involving metalworkers, XR designers, and roboticists, to ensure the system meets user needs. The study progresses through four phases: contextual inquiry, co-design workshops, system development, and user testing. Preliminary findings highlight the potential of XR-enabled tangible interaction to improve safety, efficiency, and intuitiveness in cobot applications. Future work aims to refine prototypes, evaluate scalability, and explore broader industrial applications, paving the way for safer and more effective human-robot collaboration systems.",1207–1210
