"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Analyzing Previous Human-Robot Interaction Implementation in Agriculture: What Can We Learn from the Past?","A. Elias; M. J. Galvez Trigo; C. Camacho-Villa","School of Computer Science, University of Lincoln, Lincoln, United Kingdom; School of Computer Science & Informatics, Cardiff University, Cardiff, United Kingdom; School of Agri-Food Tech & Manufacturing, University of Lincoln, Lincoln, United Kingdom",2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),"30 Apr 2025","2025","","","123","131","With the recent shift from conventional industrial robots to more collaborative Human-Robot Interaction (HRI) robots11In this paper, the term ‘HRI robot’ is used to underscore the significance of the interaction between robots and humans, rather than focusing on the type of robot involved (e.g., cobot, social robot) or the nature of the interaction (e.g., instruction-based, social interaction-based), when we refer to HRI robots we refer to any type of robot a person/s may interact or engage directly with during a task. within industries such as the agriculture sector, it has become essential to understand the challenges associated with the adoption of these robots to ensure a smooth integration with minimal resistance. As with all new technologies, there is often push-back when changing approaches and initiating new pathways within company operations, which can cause hesitation and even halt the adoption process. This paper draws from interviews with agricultural companies that have previously attempted to implement robots requiring direct human interaction, focusing on individuals within those companies who had decision-making capabilities during the implementation process. From these interviews, a set of action principles has been developed based on transferable knowledge found within the participating companies. The main results of this user study highlight that previous implementation attempts, whether positive or negative, influence future adoption. The study also identifies the multitude of barriers surrounding the agricultural sector's adoption of these technologies and suggests potential actions for companies to take to minimize the issues associated with implementing HRI robots. By identifying common successes and failures and contextualizing them for other companies to follow, this study aims to utilize lessons learned from past implementation attempts to shorten the learning curve and reduce hesitation in adopting HRI robots within the agricultural sector.","","979-8-3503-7893-1","10.1109/HRI61500.2025.10974051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974051","HRI;pHRI;Interaction;Agriculture;Adoption;Integration","Service robots;Social robots;Human-robot interaction;Focusing;Companies;Industrial robots;Agriculture;Stakeholders;Interviews;Robots","","2","","35","IEEE","30 Apr 2025","","","IEEE","IEEE Conferences"
"3 Role of 6G, IoT with Integration of AI and ML and Security in Agriculture","",,"6G Connectivity-Systems, Technologies, and Applications: Digitalization of New Technologies, 6G and Evolution","","2024","","","43","68","This book covers need for 6G connectivity arising from the pursuit of higher data speeds, ultra-low latency, massive IoT connectivity, enhanced spectral efficiency, and the facilitation of new and transformative applications. By addressing these drivers and expectations, 6G aims to revolutionize wireless communication, opening up a realm of possibilities for industries, societies, and individuals. Technological improvements and evolutions are required beyond fifth-generation (5G) networks for wireless communications as well as in the industry where the involvement of collaborative robots (COBOT) will satisfy the personal needs of human beings as and when required leading to human–machine interactions. A considerable amount of effort has been devoted, both in industry and academia, towards the performance modelling, evaluation and prediction of convergent multi-service heterogeneous, future-generation networks such as 6G. Technical topics discussed in the book include: • Network security and attacks • 6G applications and Industry 5.0 • Human centric interface • Green computing in wireless cellular networks • Next generation networks (IOT, Cloud Computing, Big Data, etc.).","","9788770228701","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10440243.pdf&bkn=10440194&pdfType=chapter","","","","","","","","19 Feb 2024","","","River Publishers","River eBook Chapters"
"Validating Point Cloud Registration for Precision Agriculture Using AprilTags","J. Karty; B. Hament","Engineering Department, Elon University, Elon, NC, USA; Engineering Department, Elon University, Elon, NC, USA",2025 Systems and Information Engineering Design Symposium (SIEDS),"6 Jun 2025","2025","","","297","301","3D data allows for better tracking of the health of plants, allowing for optimal care for each plant. This reduces water consumption, decreases reliance on pesticides, and increases crop yield. One major barrier to collecting 3D plant data is registration of point clouds collected from different perspectives. Unlike traditional man-made targets, such as buildings and consumer products, organic targets have high variability in shape and structure. Traditional methods of point cloud registration struggle with these highly variable features. To overcome this, a method of data collection involving fixed artificial markers is presented. A D435i depth camera is attached to the end of a my Cobot 320 M5 robot arm, and a frame of AprilTags is built around the scaffolding the plants grow on. As the plants are scanned, the camera position and orientation is determined by viewing the AprilTags. This information is used to register the point clouds. The localization of this setup is measured to be less than 0.7 cm by placing the depth camera in two positions that are fixed relative to each other, then subtracting the results. The registration error is measured by comparing a known object across scans from different positions. The average root mean square error of the registration is 2.16 mm. This system is then validated by successfully scanning and registering a pink hyacinth and a green pepper sprout.","2994-3531","979-8-3315-3575-9","10.1109/SIEDS65500.2025.11021186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11021186","","Point cloud compression;Location awareness;Accuracy;Target tracking;Shape;Robot vision systems;Position measurement;Three-dimensional printing;Cameras;Root mean square","","","","15","IEEE","6 Jun 2025","","","IEEE","IEEE Conferences"
"Compliant Plant Exploration for Agricultural Procedures With a Collaborative Robot","M. Polic; M. Car; F. Petric; M. Orsag","Faculty of Electrical and Computer Engineering, University of Zagreb, Zagreb, Croatia; Faculty of Electrical and Computer Engineering, University of Zagreb, Zagreb, Croatia; Faculty of Electrical and Computer Engineering, University of Zagreb, Zagreb, Croatia; Faculty of Electrical and Computer Engineering, University of Zagreb, Zagreb, Croatia",IEEE Robotics and Automation Letters,"18 Mar 2021","2021","6","2","2768","2774","This letter presents a compliant exploration framework based on a collaborative robot Franka Panda that builds a 3D plant stem model. The model is built for agricultural plant treatment procedures without external sensors, as contact forces are estimated from joint torques and robot's dynamic and kinematic model. By devising an impedance-based exploratory control algorithm capable of following an unknown shape, while being provided with only a general direction in which to explore, we eliminate the need for a precise position controller. Our approach is validated through experiments with several mock-up plant stems, showing that the proposed framework is capable of building a satisfactory 3D model of a plant. The method is evaluated against the ground truth model, and compared to the state of the art approach based on an industrial manipulator with external sensors.","2377-3766","","10.1109/LRA.2021.3062301","Faculty of Electrical and Computer Engineering; Sveučilište u Zagrebu; Hrvatska Zaklada za Znanost(grant numbers:UIP-2017-05-4042); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9363547","Compliance and impedance control;force and tactile sensing;robotics and automation in agriculture and forestry","Robots;Robot sensing systems;Force;End effectors;Three-dimensional displays;Collaboration;Torque","","16","","29","IEEE","25 Feb 2021","","","IEEE","IEEE Journals"
"AI-Augmented Robotic System for Agriculture: Intelligent Packing Application","A. Stepanova; H. Pham; A. Zourmand","Häme University of Applied Sciences, Hämeenlinna, Finland; Häme University of Applied Sciences, Hämeenlinna, Finland; Häme University of Applied Sciences, Hämeenlinna, Finland","2024 IEEE 12th Conference on Systems, Process & Control (ICSPC)","5 Feb 2025","2024","","","275","279","This paper introduces an improved robotic solution for the agriculture and food industry, applying Artificial Intelligence (AI) in tomato picking and packing processes. The work proposes a cost-effective integration of Internet of Things (IoT) and Machine-to-Machine (M2M) communication during post-harvest processing of tomatoes, facilitated by a computer vision-based robotic arm. The system leverages You Only Look Once (YOLO) model for accurate tomato identification, localization and relative size estimation. Our IoT implementation enables users to send commands specifying the desired tomato quantities and sizes for packing. The system also offers seamless control and monitoring capabilities for the maintenance personnel. Command transmission occurs through a local network incorporating a collaborative robot UR5 and Zivid Two industrial 3D camera, interconnected through a laptop and a Raspberry Pi microcomputer. The proposed system has achieved picking success rate of 0.98 and packing success rate of 0.95. This work addresses concerns related to food safety and labor shortages in small and medium enterprises (SMEs) by contributing to the automation of tomato processing and ensuring consistent quality of fresh, perishable tomatoes.","2769-7916","979-8-3503-9139-8","10.1109/ICSPC63060.2024.10862972","European Social Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10862972","Agriculture;Artificial Intelligence;Internet of Things;Machine Vision;Robotics","YOLO;Technological innovation;Three-dimensional displays;Service robots;Containers;Manipulators;Agriculture;Internet of Things;Artificial intelligence;Monitoring","","","","9","IEEE","5 Feb 2025","","","IEEE","IEEE Conferences"
"Hierarchy in Algorithm-Based Feedback to Patients Working With a Robotic Rehabilitation System: Toward User-Experience Optimization","D. Fruchter; R. Feingold Polak; S. Berman; S. Levy-Tzedek","Department of Industrial and Management Engineering, Ben-Gurion University of the Negev, Be'er Sheva, Israel; Recanati School for Community Health Professions, Department of Physical Therapy, Ben-Gurion University of the Negev, Be'er Sheva, Israel; Department of Industrial Engineering and Management and the Zlotowski Center for Neuroscience, Ben-Gurion University of the Negev, Be'er Sheva, Israel; Department of Physical Therapy and the Zlotowski Center for Neuroscience, Ben-Gurion University of the Negev, Be'er Sheva, Israel",IEEE Transactions on Human-Machine Systems,"15 Sep 2022","2022","52","5","907","917","When robotic systems are developed for individualized training during rehabilitation, providing effective feedback to the users is essential. We aimed to create a rule-based set of guidelines for the desired hierarchy, timing, content, and modality of feedback such a system should provide to users, such that they receive the necessary feedback, at the relevant time, in a way that enhances their performance, and does not encumber it. We conducted four focus groups with 20 stroke clinicians. The clinicians described the guiding principles they use when giving feedback to patients, and noted different output should be provided to the patient versus the clinician by the rehabilitation system. They delineated a hierarchy for providing feedback during the exercise set: success on the task is the primary goal, and feedback should be given on this aspect first. Once success is achieved, feedback should be given on the quality of the movement. Only when the task is successfully completed, with no compensatory movements (i.e., high quality), feedback should be given on movement speed. Using a follow-up survey and the member-checking approach, it was revealed that this hierarchical structure applies to early stages in the rehabilitation process, and that quality of movement becomes paramount as the rehabilitation process progresses. The clinicians expressed their desire to receive a full report on the patient's performance in each exercise session, which is more comprehensive than the feedback provided to the patient in real time. We conclude with a set of guidelines for developing automated feedback for patient populations.","2168-2305","","10.1109/THMS.2022.3170831","Leona M. and Harry B. Helmsley Charitable Trust; Agricultural, Biological and Cognitive Robotics Initiative; Marcus Endowment Fund; Paul Ivanier Center for Production Management; Ben-Gurion University of the Negev; Borten Family Foundation; Consolidated Anti-Aging Foundation; Ministry of Health, State of Israel; National Insurance Institute of Israel; European Union's Horizon 2020 research and innovation programme; Marie Skłodowska-Curie(grant numbers:754340); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9774360","Artificial intelligence;exergames;participatory design;patient-centered;socially assistive robotics;user experience","Robots;Stroke (medical condition);Task analysis;Visualization;Interviews;Robot sensing systems;Guidelines","","8","","55","CCBYNCND","13 May 2022","","","IEEE","IEEE Journals"
"Containerized Vertical Farming Using Cobots","D. Mahalingam; A. Patankar; K. Phi; N. Chakraborty; R. McGann; I. Ramakrishnan","Department of Mechanical Engineering, Stony Brook University, USA; Department of Mechanical Engineering, Stony Brook University, USA; Department of Computer Science, Stony Brook University, USA; Department of Mechanical Engineering, Stony Brook University, USA; CubicAcres LLC, Stony Brook, USA; Department of Computer Science, Stony Brook University, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","17897","17903","Containerized vertical farming is a type of vertical farming practice using hydroponics in which plants are grown in vertical layers within a mobile shipping container. Space limitations within shipping containers make the automation of different farming operations challenging. In this paper, we explore the use of cobots (i.e., collaborative robots) to automate two key farming operations, namely, the transplantation of saplings and the harvesting of grown plants. Our method uses a single demonstration from a farmer to extract the motion constraints associated with the tasks, namely, transplanting and harvesting, and can then generalize to different instances of the same task. For transplantation, the motion constraint arises during insertion of the sapling within the growing tube, whereas for harvesting, it arises during extraction from the growing tube. We present experimental results to show that using RGBD camera images (obtained from an eye-in-hand configuration) and one demonstration for each task, it is feasible to perform transplantation of saplings and harvesting of leafy greens using a cobot, without task-specific programming.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10609985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10609985","","Fingers;Robot vision systems;Collaborative robots;Containers;Programming;Cameras;Electron tubes","","","","48","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Machine Learning Based Hardware Accelerated Cobot Grasping in the Food Industry","N. Ivačko; I. Ćirić; Ž. Cojbašić; M. Milošević; D. Jevtić","Faculty of Mechanical Engineering, University of Nis, Nis, Serbia; Faculty of Mechanical Engineering, University of Nis, Nis, Serbia; Faculty of Mechanical Engineering, University of Nis, Nis, Serbia; Faculty of Mechanical Engineering, University of Nis, Nis, Serbia; Fazi doo, Belgrade, Serbia","2024 11th International Conference on Electrical, Electronic and Computing Engineering (IcETRAN)","3 Sep 2024","2024","","","1","5","In food industry automation, the integration of machine learning with robotic systems can introduce improved efficiency and precision in various tasks such as fruit and vegetable handling and manipulation. This paper introduces an innovative approach to robotic grasping, specifically customized for the challenge of identifying and handling apples and oranges within a dynamic and unstructured environment. Utilizing the YOLO (You Only Look Once) object detection algorithm, the system consists of a camera mounted on the robot's end effector, enabling real-time identification and localization of fruits and vegetables. Implemented on the NVIDIA Jetson platform, this solution presents the combination of machine learning techniques with hardware acceleration, ensuring optimal performance in real-time object recognition and manipulation tasks. Our experimental setup tests the robustness of our object recognition and localization approach under varying lighting and orientation scenarios and evaluates the system's overall performance in a real-world, cluttered environment typical of the food industry. The findings of this study underscore the potential of integrating ML-powered vision systems with hardware-accelerated robotics for food handling and manipulation applications. By demonstrating high levels of accuracy in recognition, classification and grasping, our research contributes to the broader field of robotic automation, offering insights into the scalability and adaptability of such systems across different sectors of the food industry.","","979-8-3503-8699-8","10.1109/IcETRAN62308.2024.10645149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10645149","Robot vision;Collaborative robots;Object recognition;Grasping;Image processing;Deep learning","YOLO;Service robots;Robot vision systems;Food industry;Machine learning;Grasping;Real-time systems","","2","","24","IEEE","3 Sep 2024","","","IEEE","IEEE Conferences"
"Design and prototyping of a low-cost light weight fixed-endpoint orientation planar Cobot","I. S. Howard","School of Engineering, Computing & Mathematics, University of Plymouth, Plymouth, UK",2022 International Conference on System Science and Engineering (ICSSE),"21 Nov 2022","2022","","","047","054","Here we present the design and construction of a low-cost planar robotic arm that makes use of light weight component and a passive link mechanism to maintain fixed endpoint orientation. The arm structure itself is low-cost and built from carbon fiber tubes which yields a high stiffness to weight ratio. To facilitate construction, commercially available pulley and bearing components are used in the design where possible and all custom mechanical parts are 3D printed. To reduce power consumption, the arm makes use of non-back-drivable worm-gear motor actuation, so static arm configurations can be maintained without requiring motor power. We first analyze and simulate the kinematics and the static torque/force relationships of the mechanism. A microcontroller system was then developed to read the sensors and drive the arm motors. Finally, we demonstrate arm operation with simple movement tasks.","2325-0925","978-1-6654-8852-5","10.1109/ICSSE55923.2022.9947353","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9947353","Worm-drive;3D printing;Robot arm design;Agricultural robotics;Low-cost Cobot manipulator","Optical fiber sensors;Three-dimensional displays;Power demand;Microcontrollers;Pulleys;Manipulators;Robot sensing systems","","2","","20","IEEE","21 Nov 2022","","","IEEE","IEEE Conferences"
"Multi Agricultural Robots Cooperation Using Wireless Ad-hoc Network","P. Lin; X. Li; Z. Dong; L. Zhang","Engineering Research Center for Intelligent Robotics, Ji Hua Laboratory, Foshan, Guangdong, China; Engineering Research Center for Intelligent Robotics, Ji Hua Laboratory, Foshan, Guangdong, China; Engineering Research Center for Intelligent Robotics, Ji Hua Laboratory, Foshan, Guangdong, China; Engineering Research Center for Intelligent Robotics, Ji Hua Laboratory, Foshan, Guangdong, China",2022 IEEE 17th Conference on Industrial Electronics and Applications (ICIEA),"12 Jan 2023","2022","","","371","375","Nowadays, the compound robot is a kind of AGV mobile collaborative robot with the multi-axis robot mounted on it, which can be used for agricultural works, such as harvesting and inspecting. Meanwhile, often WLAN is used to provide wireless communication for prototype system, for research testbeds, and also for commercial and industrial applications. People manually assign tasks to robots in advance and supervise the job situation. Once the number of working robots changes, it is depressing to reassign the tasks manually again and again with lower automation level. The use of the optimized WLAN which the paper proposed makes greater automation and overcomes the above defects. A brief presentation of the behavior of an improved ad-hoc routing protocols proposed in this paper is given and important aspects are discussed exemplarily.","2158-2297","978-1-6654-0984-1","10.1109/ICIEA54703.2022.10005991","Jihua Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005991","Ad-hoc;Wireless networks;Routing protocol;Agricultural works;Collaborative robots","Wireless communication;Wireless LAN;Automation;Service robots;Routing;Routing protocols;Ad hoc networks","","","","11","IEEE","12 Jan 2023","","","IEEE","IEEE Conferences"
