"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Bendel, O.","Bendel, Oliver (55951668200)","55951668200","An Investigation into the Encounter between Social Robots and Animals","2025","","","","","367","393","0","0","10.1201/9781003652311-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018279567&doi=10.1201%2F9781003652311-13&partnerID=40&md5=1e969bad48ddffba3aee38c6e045b31b","Increasingly, social robots and certain service robots encounter, whether this is planned or not, domestic, farm, or wild animals. They react differently, some interested, some disinterested, some lethargic, some panicked. Research needs to turn more to animalrobot relationships, and to work with engineers to design these relationships in ways that promote animal welfare and reduce animal suffering. This chapter is about social robots that are designed for animals, but also those that—for different, rather unpredictable reasons—meet, interact, and communicate with animals. It also considers animal-friendly machines that have emerged in the context of machine ethics. In the discussion section, the author explores the question of which of the presented robots are to be understood as social robots and what their differences are in their purpose and in their relationship to animals. In addition, social and ethical aspects are addressed. © 2025 Elsevier B.V., All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-105018279567"
"Wanta, H.; Lorenz, S.; Janssen, U.","Wanta, Helge (57223404048); Lorenz, Sebastian (57190281263); Janssen, Ulrike (59937903400)","57223404048; 57190281263; 59937903400","Exploring the Concept of Goal-Oriented Human-Machine Interface Design in an Agricultural Use Case","2025","Lecture Notes in Computer Science","15793 LNCS","","","313","331","0","0","10.1007/978-3-031-93508-4_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007836185&doi=10.1007%2F978-3-031-93508-4_23&partnerID=40&md5=d05b11218d3d4f267d130ad629fd11d9","The agricultural production industry faces a fundamental transformation towards highly automated machines and operation procedures. Introducing swarm-based robot systems for processes such as soil cultivation, sowing, and harvesting comes with new operation scenarios requiring operators to monitor several machines simultaneously. Conventional user interfaces may not be able to cope with the associated change in information and interaction requirements. However, a successful transformation towards such automation scenarios depends on a suitable interaction design that considers human factors such as situation awareness, trust, mental models, and workload. Through efficient navigation architectures or visualisation techniques, user interfaces can counter the impeding effects of humans being out-of-the-loop in multi-robot represent a promising approach to address these issues. Instead of function-based information presentation in conventional user interfaces, goal-oriented approaches highlight the role of machine functions and states in the context of higher-level performance goals. This approach provides opportunities to support operators in understanding the underlying relations between machine functions and their effects on goals such as production performance or efficiency. This article presents the development and evaluation of a goal-oriented user interface for monitoring and controlling highly automated combine harvesters. A hierarchical information visualisation summarised machine data into high-level performance indicators. This visualisation approach also enables operators to access information and control options at different levels of depth to facilitate their situation assessment efforts in continuous switching of loops in multi-robot monitoring. However, fundamentally changing visual and functional characteristics of user interfaces may contradict performance, as they require operators to adapt. A good fit to the operators’ mental models of high-level processes is required to achieve acceptable levels of intuitiveness and acceptance. To evaluate this alternative approach to user interface design, we observed experienced and novice operators working with a functional and interactive prototype and measured perceived usefulness, usability and user experience. © 2025 Elsevier B.V., All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105007836185"
"","","","16th European Robotics Forum, ERF 2025","2025","Springer Proceedings in Advanced Robotics","36 SPAR","","","","","326","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006580506&partnerID=40&md5=c8058d9114e9ac0560c03c9c908cdc47","The proceedings contain 49 papers. The special focus in this conference is on European Robotics. The topics include: Excerpt from a Practical Risk Assessment of the Hand-Arm Region for Workplaces with Collaborative Robots; Shopfloor-Ready High Accuracy Robotics – Mark II; aerial, Autonomous and Safe Solution for the Inspection of Underground Power Line Galleries; Automated Leaf-Level Inspection of Crops Combining UAV and UGV Robots; Codeless Teaching of Robot-Arm Positioning in VR; A Novel DMPs Based Approach to Comply ISO/TS 15066; planning Under Uncertainties with Closed-Loop Sensitivity: Recent Results and Perspectives; friday: The Versatile Mobile Manipulator Robot; performances of a Hybrid Drive Robot for Steel Machining; Acceleration-Based Inner-Loop Control and MPC for Aerial Robots: Advantages and Drawbacks; Modelling and Simulation of Industrial Delta Robots in ROS2 and Gazebo; advances on Affordable Hardware Platforms for Human Demonstration Acquisition in Agricultural Applications; automated Multi-agent Assembly: Collaborative Robot-Crane Concept and Capability Matching Implementation for the Automated Assembly of Heavy Construction Components; factors Affecting Passive Stability of Quadruped Trotting with An-Isotropic Compliant Legs; Automated Euro NCAP Testing of Vehicles and Mobile Robots on Automotive Proving Grounds; enhancing Construction Steel Assembly Through Semantic Data Connectivity: Insights from an Adaptive Welding Procedure and In-Process Monitoring; Dual-Piston Hoop Gear Driven MR Safe Pneumatic Stepper Motor; structuring Social Robot Requirements: Integrating User Perception and Emotional Goals in Technical Development; Pilot Test to Evaluate Ergonomic Risk of Industrial Exoskeleton with Semi-autonomous Method that Relies on AzKCLI and the Equivalent Weight; the Next Frontier: Deploying Autonomous Robotic Systems for Safer Nuclear Decommissioning in Europe; a Blimp-Based Robot That Moves Under the Ceiling; DARKO-Nav: Hierarchical Risk and Context-Aware Robot Navigation in Complex Intralogistic Environments; Elasto-Kinematic Calibration of the Lunar Rover Mini 6 DOF Robotic Arm; anticipatory Regulation for Service Robotics Safety. © 2025 Elsevier B.V., All rights reserved.","Conference review","Final","","Scopus","2-s2.0-105006580506"
"Elias, A.; Galvez Trigo, M.J.; Camacho-Villa, C.","Elias, Alex (57472834000); Galvez Trigo, Maria Jose (56237211400); Camacho-Villa, Carolina (57218326945)","57472834000; 56237211400; 57218326945","Analyzing Previous Human-Robot Interaction Implementation in Agriculture: What Can We Learn from the Past?","2025","ACM/IEEE International Conference on Human-Robot Interaction","","","","123","131","0","1","10.1109/HRI61500.2025.10974051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004876736&doi=10.1109%2FHRI61500.2025.10974051&partnerID=40&md5=5f8b5c2dd2b61f2e983684d91af3bd07","With the recent shift from conventional industrial robots to more collaborative Human-Robot Interaction (HRI) robots11In this paper, the term 'HRI robot' is used to underscore the significance of the interaction between robots and humans, rather than focusing on the type of robot involved (e.g., cobot, social robot) or the nature of the interaction (e.g., instruction-based, social interaction-based), when we refer to HRI robots we refer to any type of robot a person/s may interact or engage directly with during a task. within industries such as the agriculture sector, it has become essential to understand the challenges associated with the adoption of these robots to ensure a smooth integration with minimal resistance. As with all new technologies, there is often push-back when changing approaches and initiating new pathways within company operations, which can cause hesitation and even halt the adoption process. This paper draws from interviews with agricultural companies that have previously attempted to implement robots requiring direct human interaction, focusing on individuals within those companies who had decision-making capabilities during the implementation process. From these interviews, a set of action principles has been developed based on transferable knowledge found within the participating companies. The main results of this user study highlight that previous implementation attempts, whether positive or negative, influence future adoption. The study also identifies the multitude of barriers surrounding the agricultural sector's adoption of these technologies and suggests potential actions for companies to take to minimize the issues associated with implementing HRI robots. By identifying common successes and failures and contextualizing them for other companies to follow, this study aims to utilize lessons learned from past implementation attempts to shorten the learning curve and reduce hesitation in adopting HRI robots within the agricultural sector. © 2025 Elsevier B.V., All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105004876736"
"Ravikanna, R.; Cox, J.; Heselden, J.R.; Lloyd, R.; Elias, A.; Hanheide, M.","Ravikanna, Roopika (57211430742); Cox, Jonathan (57198753599); Heselden, James R. (57345103100); Lloyd, Rob (57668976400); Elias, Alex (57472834000); Hanheide, Marc (6507632075)","57211430742; 57198753599; 57345103100; 57668976400; 57472834000; 6507632075","An Exploratory Study on the Use of Robot Dogs in Shepherding","2025","ACM/IEEE International Conference on Human-Robot Interaction","","","","1820","1822","0","0","10.1109/HRI61500.2025.10974134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004875611&doi=10.1109%2FHRI61500.2025.10974134&partnerID=40&md5=eebe969dcaee77b13f89f9afea1d548c","Shepherding is a skill which can take sheepdogs anywhere from three months to three years to learn, and can cost shepherds tens of thousands of pounds. This study explores the potential of robot sheepdogs, which could be as low as £1600. Using expert observations from farm managers the study assesses the efficacy of BostonDynamics Spot at shepherding. Observations from the three field trials showed potential for the robot in maintaining the flock whilst in motion, dynamically adjusting the flock's flight distance with indirect eye contact, and eliciting pressure in collaboration with a sheepdog, to move the sheep into their pens. © 2025 Elsevier B.V., All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105004875611"
"Meltebrink, C.; Ströer, T.; Wegmann, B.; Weltzien, C.; Ruckelshausen, A.","Meltebrink, Christian (57193744857); Ströer, Tom (57222531915); Wegmann, Benjamin (57222527841); Weltzien, Cornelia (57189026254); Ruckelshausen, Arno (6507860227)","57193744857; 57222531915; 57222527841; 57189026254; 6507860227","Concept and realization of a novel test method using a dynamic test stand for detecting persons by sensor systems on autonomous agricultural robotics","2021","Sensors","21","7","2315","","","0","12","10.3390/s21072315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102999472&doi=10.3390%2Fs21072315&partnerID=40&md5=2505482889567469896a8d018599c988","As an essential part for the development of autonomous agricultural robotics, the functional safety of autonomous agricultural machines is largely based on the functionality and robustness of non-contact sensor systems for human protection. This article presents a new step in the development of autonomous agricultural machine with a concept and the realization of a novel test method using a dynamic test stand on an agricultural farm in outdoor areas. With this test method, commercially available sensor systems are tested in a long-term test around the clock for 365 days a year and 24 h a day on a dynamic test stand in continuous outdoor use. A test over a longer period of time is needed to test as much as possible all occurring environmental conditions. This test is determined by the naturally occurring environmental conditions. This fact corresponds to the reality of unpredictable/determinable environmental conditions in the field and makes the test method and test stand so unique. The focus of the developed test methods is on creating own real environment detection areas (REDAs) for each sensor system, which can be used to compare and evaluate the autonomous human detection of the sensor systems for the functional safety of autonomous agricultural robots with a humanoid test target. Sensor manufacturers from industry and the automotive sector provide their sensor systems to have their sensors tested in cooperation with the TÜV. © 2021 Elsevier B.V., All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85102999472"
"Opiyo, S.; Zhou, J.; Mwangi, E.; Wang, W.; Sunusi, I.","Opiyo, Samwel (57214855558); Zhou, Jun (56380682100); Mwangi, Emmy (57219552373); Wang, Kai (58367661500); Sunusi, Idris Idris (57214853855)","57214855558; 56380682100; 57219552373; 58367661500; 57214853855","A Review on Teleoperation of Mobile Ground Robots: Architecture and Situation Awareness","2021","International Journal of Control, Automation and Systems","19","3","","1384","1407","0","79","10.1007/s12555-019-0999-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093838441&doi=10.1007%2Fs12555-019-0999-z&partnerID=40&md5=61bb54495af47601251f91be1314635f","Currently, the application of mobile ground robots spans a range of fields from surveillance, search and rescue, exploration, agriculture, military among others. In unstructured and dangerous environments such as disaster scene, military fields or chemical spray in agricultural farms, the experience and intelligence of the operator are necessary for making complex decisions beyond the autonomy of the robot. In such cases, teleoperation allow the operator to guide the robot in achieving complex task from a safe location. The effectiveness with which the operator controls the robot depends on, among others, operator’s awareness of the robot’s environment, the quality of communication link, the robustness of robot’s control system and experience of the human operator. Ground mobile robots form the basis of this work since they are applicable in many fields and mostly operate in dynamic environments that require additional guidance from a human operator. This study reviews research work on mobile robot teleoperation systems, and puts more emphasis on the architecture, communication link and situation awareness creation. Moreover, future trend in mobile robot teleoperation is also put forward in this review to give ground for new research work in this field. Based on the sited literature, it is noted that making the operator feel present in the robot’s environment through sufficient visual and force feedback as well as use of good quality network, significantly improve the navigation efficiency and task achievement of mobile ground robots. © 2021 Elsevier B.V., All rights reserved.","Article","Final","","Scopus","2-s2.0-85093838441"
"Poonguzhali, S.; Gomathi, T.","Poonguzhali, S. (57194104665); Gomathi, T. (57190791994)","57194104665; 57190791994","Design and Implementation of Ploughing and Seeding of Agriculture Robot Using IOT","2021","Advances in Intelligent Systems and Computing","1248","","","643","650","0","6","10.1007/978-981-15-7394-1_58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097642111&doi=10.1007%2F978-981-15-7394-1_58&partnerID=40&md5=729ce2a1fcc46ad5426dec06cbe4a4da","In India, 70% people rely on agriculture for their food that is rice, crop like wheat, barley, sunflower, etc. In this paper, a robot system which helps us to cultivate agricultural lands without the use of man power. In other countries, they do not require man power in agricultural sector instead of that, we can use robot to save man power time and increase in the efficiency of production. IOT is a latest technology to grow the network of everyday object of agriculture. In the proposed system, a robot system is used to cultivate the agriculture land without the help of man power and it is also controlled by using Wi-Fi. Here, the robot is used to automate the process of sowing crops and ploughing in the field and water sprinkling to the crops are also done automatically by the robot and motors are used to move the robot vehicle in the front and back, respectively. The proposed system is used to train the robot by embedded instructing coding to sow, plough and water the crops. Based on a time interval, these works are done automatically without the man power. © 2020 Elsevier B.V., All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-85097642111"
"","","","3rd International Conference on Innovative Computing and Communication, ICICC 2020","2021","Advances in Intelligent Systems and Computing","1166","","","","","2354","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089537190&partnerID=40&md5=5be34987de41d826d91683a1135bf83d","The proceedings contain 196 papers. The special focus in this conference is on Innovative Computing and Communication. The topics include: Tracking of soccer players using optical flow; selection of probabilistic data structures for spv wallet filtering; hybrid bf-pso algorithm for automatic voltage regulator system; malware classification using multi-layer perceptron model; protocol random forest model to enhance the effectiveness of intrusion detection identification; detecting user’s spreading influence using community structure and label propagation; bagging- and boosting-based latent fingerprint image classification and segmentation; selecting social robot by understanding human–robot interaction; flooding and forwarding based on efficient routing protocol; evaluating user influence in social networks using k-core; hardware-based parallelism scheme for image steganography speed up; predicting group size for software issues in an open-source software development environment; wireless cnc plotter for pcb using android application; epileptic seizure detection using machine learning techniques; analysis of minimum support price prediction for indian crops using machine learning and numerical methods; a robust methodology for creating large image datasets using a universal format; a comparative empirical evaluation of topic modeling techniques; an analysis of machine learning techniques for flood mitigation; link prediction in complex network: Nature inspired gravitation force approach; hridaya kalp: A prototype for second generation chronic heart disease detection and classification; depression anatomy using combinational deep neural network; two-stream mid-level fusion network for human activity detection; content classification using active learning approach; analysis of navic multipath signal sensitivity for soil moisture in presence of vegetation; transaction privacy preservations for blockchain technology; deeper into image classification. © 2020 Elsevier B.V., All rights reserved.","Conference review","Final","","Scopus","2-s2.0-85089537190"
"Arivalagan, M.; Lavanya, M.; Manonmani, A.; Siva Subramanian, S.; Hosanna Princye, P.","Arivalagan, M. (57195994213); Lavanya, M. N. (57190811663); Manonmani, A. (57192979608); Siva Subramanian, S. (57219440302); Hosanna Princye, P. (57201285401)","57195994213; 57190811663; 57192979608; 57219440302; 57201285401","Agricultural robot for automized fertilizing and vigilance for crops","2020","","","","9368908","","","0","9","10.1109/ICADEE51157.2020.9368908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102981348&doi=10.1109%2FICADEE51157.2020.9368908&partnerID=40&md5=078863e70f19ee1679f7ac486d11939e","Agriculture is becoming a significant sector all over the world due to its increasing population. Improvement in farming productivity and quality of the methods in farming is the challenges found in the agricultural sector without manual involvement in monitoring process. The fulfillment of this process reduces the possibility of food demand. The other major concern in this sector is climate change. In this project, cultivation is carried out automatically without involving man power using robot system. By reducing the man power and time, we can able to increase productivity rate. Web camera is fixed on the robotic set up to monitor the agricultural field. We have designed an autonomous robot for agriculture using real time condition. We are analyzing the field parameters like soil Moisture. The raspberry pi will sense the soil moisture condition using the sensor that is interfaced with it. The raspberry is programmed to ON/OFF the DC motor based on the moisture sensor input for automatic irrigation. The autonomous robot can also be controlled in a specific direction through the instructions given in the webpage. By giving the command on the webpage, the respective DC motor will works and the fertilizer will be sprayed on the field. PIR Sensor is interfaced with raspberry pi to detect the motion in order to safeguard the crops. Raspberry pi is also interfaced with rainfall sensor to measure the amount of rainfall and it will indicate an alert message to the farmer regarding the excess rainfall. © 2021 Elsevier B.V., All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-85102981348"
