ID,ENTRYTYPE,author,title,year,journal,booktitle,doi,url,abstract,pages
WOS:000800815600001,article,"Tian, Yong and Yue, Xiang and Wang, Lin and Feng, Yan","Vibration suppression of collaborative robot based on modified
trajectory planning",2023,"INDUSTRIAL ROBOT-THE INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH AND
APPLICATION",,10.1108/IR-01-2022-0017,,"Purpose The paper aims to reduce the low-frequency resonance and
residual vibration of the robot during the operation, improve the
working accuracy and efficiency. A reduced weight and large
load-to-weight ratio can improve the practical application of a
collaborative robot. However, flexibility caused by the reduced weight
and large load-to-weight ratio leads to low-frequency resonance and
residual vibration during the operation of the robot, which reduces the
working accuracy and efficiency. The vibrations of the collaborative
robot are suppressed using a modified trajectory-planning method.
Design/methodology/approach A rigid-flexible coupling dynamics model of
the collaborative robot is established using the finite element and
Lagrange methods, and the vibration equation of the robot is derived.
Trajectory planning is performed with the excitation force as the
optimization objective, and the trajectory planning method is modified
to reduce the vibration of the collaborative robot and ensure the
precision of the robot terminal. Findings The vibration amplitude is
reduced by 80\%. The maximum torque amplitude of the joint before the
vibration suppression reaches 50 N center dot m. After vibration
suppression, the maximum torque amplitude of the joint is 10 N center
dot m, and the resonance phenomenon is eliminated during the operation
process. Consequently, the effectiveness of the modified trajectory
planning method is verified, where the vibration and residual vibration
in the movement of the collaborative robot are significantly reduced,
and the positioning accuracy and working efficiency of the robot are
improved. Originality/value This method can greatly reduce the vibration
and residual vibration of the collaborative robot, improve the
positioning accuracy and work efficiency and promote the rapid
application and development of collaborative robots in the industrial
and service fields.",45-55
WOS:000729347400001,article,"Lai, Yang-Lun and Chen, Po-Lun and Su, Tsung-Chen and Hwang, Wei-Yang
and Chen, Shih-Fang and Yen, Ping-Lang",A Collaborative Robot for Tea Harvesting with Adjustable Autonomy,2022,CYBERNETICS AND SYSTEMS,,10.1080/01969722.2021.2008678,,"A collaborative mobile robot has been developed for tea plucking in
narrow terrain tea gardens. The robot executes stable side-by-side
motions and carries most of the load of the tea harvesting machine. The
robot is controlled with adjustable autonomy so that the human can
provide a supervisory role and adjust the optimal height and forward
speed of the cutting tool. During tea plucking, the robot can
autonomously detect the tree rows and avoid colliding with the trees.
The experimental results show that the proposed collaborative robot can
stably co-work with humans and significantly improve working efficiency
and comfort.",4-22
WOS:001294438700010,inproceedings,"Zhang, Zhengming and Wang, Weijun and Sun, Wei and Liu, Shujian and Liu,
Yunfei and Fan, Jiyong and Liu, Huarui and Zhao, Yangzhou and Wang,
Qinghui and Cui, Xingyu",Design for Collaborative Robot with 6 Degree of Freedom(DOF),2024,,"2024 10TH INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING, CONTROL
AND ROBOTICS, EECR 2024",10.1109/EECR60807.2024.10607241,,"The design and control technology of the collaborative robot is studied
systematically, and the body structure is lightweight design, and the
high-strength thin shell is designed in this paper. According to the
maximum load and speed requirements of the robot, the torque check of
the two kinds of modular joint motor and harmonic reducer of the robot
is carried out. The new driving principle is studied. The frameless
direct drive motor and the harmonic reducer with certain flexibility are
high-density integrated, and the electromechanical joint with high power
density ratio is developed, and the series and modularization are
carried out. A new flexible braking mechanism is designed to simplify
the joint structure and facilitate heat dissipation, which provides a
new idea for joint structure design of collaborative robots. From the
basic theory and key technology, it provides innovative ideas and
solutions for the realization of ``man-machine integration{''}, and lays
the foundation for the realization of highly adaptive cooperation
between robots and people.",56-62
WOS:000756902700016,article,"Paniti, Imre and Nacsa, Janos and Szur, David and Racz, Sandor and Toth,
Jozsef","COMPLEMENTARY MANIPULATOR TOOL DEVELOPMENT FOR SAFE COBOT-ASSISTED
HYDROPONICS",2021,HUNGARIAN JOURNAL OF INDUSTRY AND CHEMISTRY,,10.33927/hjic-2021-27,,"Human-robot collaboration is gaining ground in Manufacturing, Healthcare
and Logistics but also in Agriculture. Different types of applications
in the latter field are becoming more common. However, in all scenarios,
safety assessment and verification are crucial to cope with the related
standards and specifications. In this paper, the development and safety
testing of a complementary manipulator tool (Clip) is presented which
can by design limit the physical interaction energy in a hazardous
collaborative robot (cobot) scenario, namely when loading the plant of a
Hydroponic System.",85-89
WOS:000365048400007,article,"Shiomi, Masahiro and Kanda, Takayuki and Howley, Iris and Hayashi,
Kotaro and Hagita, Norihiro",Can a Social Robot Stimulate Science Curiosity in Classrooms?,2015,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,,10.1007/s12369-015-0303-1,,"This study investigates whether the presence of a social robot and
interaction with it raises children's interest in science. We placed
Robovie, our social robot, in an elementary school science class where
children could freely interact with it during their breaks. Robovie was
tele-operated and its behaviors were designed to answer any questions
related to science. It encouraged the children to ask about science by
initiating conversations about class topics. Our result shows that even
though Robovie did not influence the science curiosity of the entire
class, there were individual increases in the children who asked Robovie
science questions.",641-652
WOS:000529319700001,article,"Gradolewski, Dawid and Maslowski, Dawid and Dziak, Damian and
Jachimezyk, Bartosz and Mundlamuri, Siva Teja and Prakash, Chandran G.
and Kulesza, Wlodek J.",A Distributed Computing Real-Time Safety System of Collaborative Robot,2020,ELEKTRONIKA IR ELEKTROTECHNIKA,,10.5755/j01.eie.26.2.25757,,"Robotization has become common in modern factories due to its efficiency
and cost-effectiveness. Lots of robots and manipulators share their
workspaces with humans what could lead to hazardous situations causing
health damage or even death. This article presents a real-time safety
system applying the distributed computing paradigm for a collaborative
robot. The system consists of detection/sensing modules connected with a
server working as decision-making system. Each configurable sensing
module pre-processes vision information and then sends to the server the
images cropped to new objects extracted from a background. After
identifying persons from the images, the decision-making system sends a
request to the robot to perform pre-defined action. In the proposed
solution, there are indicated three safety zones defined by three
different actions on a robot motion. As identification method,
state-of-the-art of Machine Learning algorithms, the Histogram of
Oriented Gradients (HOG), Viola-Jones, and You Only Look Once (YOLO),
have been examined and presented. The industrial environment tests
indicated that YOLOv3 algorithm outperformed other solutions in terms of
identification capabilities, false positive rate and maximum latency.",4-14
WOS:001369728006089,inproceedings,"Mahalingam, Dasharadhan and Patankar, Aditya and Phi, Khiem and
Chakraborty, Nilanjan and McGann, Ryan and Ramakrishnan",Containerized Vertical Farming Using Cobots,2024,,"2024 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA
2024)",10.1109/ICRA57147.2024.10609985,,"Containerized vertical farming is a type of vertical farming practice
using hydroponics in which plants are grown in vertical layers within a
mobile shipping container. Space limitations within shipping containers
make the automation of different farming operations challenging. In this
paper, we explore the use of cobots (i.e., collaborative robots) to
automate two key farming operations, namely, the transplantation of
saplings and the harvesting of grown plants. Our method uses a single
demonstration from a farmer to extract the motion constraints associated
with the tasks, namely, transplanting and harvesting, and can then
generalize to different instances of the same task. For transplantation,
the motion constraint arises during insertion of the sapling within the
growing tube, whereas for harvesting, it arises during extraction from
the growing tube. We present experimental results to show that using
RGBD camera images (obtained from an eye-in-hand configuration) and one
demonstration for each task, it is feasible to perform transplantation
of saplings and harvesting of leafy greens using a cobot, without
task-specific programming. Video- https://youtu.be/KMqA-4GvKwk",17897-17903
WOS:000474685800130,inproceedings,"Pablo Vasconez, Juan and Guevara, Leonardo and Auat Cheein, Fernando","Social robot navigation based on HRI non-verbal communication A case
study on avocado harvesting",2019,,"SAC `19: PROCEEDINGS OF THE 34TH ACM/SIGAPP SYMPOSIUM ON APPLIED
COMPUTING",10.1145/3297280.3297569,,"To date, robotic applications in agriculture are still a challenging
topic, which has been studied mainly for large farms. However, groves in
particular, require tasks, such as picking and handling, that still
require human labor force. In countries such as Chile and Peru, avocado
is one of the main fruit production, but its growing in complex
environments, making it difficult to fully automate the harvesting
process. In this scenario, human-robot interaction (HRI) strategies can
provide solutions to enhance the farming process. In this work, we
propose the use of a HRI strategy via three visual non-verbal
communication methods, with the aim of improving the avocado harvesting
process leading to possible human workload decrement. Using such HRI
directives, a robot motion controller is implemented for the robotic
service unit to ensure that the interaction is socially acceptable
during the avocado transportation task. The robot social navigation is
tested in a simulated environment where the robot interacts with field
workers to test three control tasks which are approaching, following and
avoiding the human.",957-960
WOS:000930386200001,article,"Tziolas, Emmanouil and Karapatzak, Eleftherios and Kalathas, Ioannis and
Lytridis, Chris and Mamalis, Spyridon and Koundouras, Stefanos and
Pachidis, Theodore and Kaburlasos, Vassilis G.","Comparative Assessment of Environmental/Energy Performance under
Conventional Labor and Collaborative Robot Scenarios in Greek
Viticulture",2023,SUSTAINABILITY,,10.3390/su15032753,,"The viticultural sector is facing a significant maturation phase,
dealing with environmental challenges to reduce agrochemical application
and energy consumption, while labor shortages are increasing throughout
Europe and beyond. Autonomous collaborative robots are an emerging
technology and an alternative to the scarcity of human labor in
agriculture. Additionally, collaborative robots could provide
sustainable solutions to the growing energy demand of the sector due to
their skillful precision and continuous labor. This study presents an
impact assessment regarding energy consumption and greenhouse gas
emissions of collaborative robots in four Greek vineyards implementing a
life cycle assessment approach. Eight scenarios were developed in order
to assess the annual production of four Vitis vinifera L. cultivars,
namely, Asyrtiko, Cabernet Sauvignon, Merlot, and Tempranillo,
integrating data from two wineries for 3 consecutive years. For each
conventional cultivation scenario, an alternative was developed,
substituting conventional viticultural practices with collaborative
robots. The results showed that collaborative robots' scenarios could
achieve a positive environmental and energy impact compared with
conventional strategies. The major reason for lower impacts is fossil
fuel consumption and the efficiency of the selected robots, though there
are limitations regarding their functionality, lifetime, and production.
The alternative scenarios have varying energy demand and environmental
impact, potentially impacting agrochemical usage and requiring new
policy adjustments, leading to increased complexity and potential
controversy in farm management. In this context, this study shows the
benefits of collaborative robots intended to replace conventional
practices in a number of viticultural operations in order to cope with
climate change impacts and excessive energy consumption.",
WOS:001504294500012,article,"Li, Hui and Luo, Mingyue and Luo, Wanbo and Li, Hewei and Cong, Shuofeng","Integrated decision-control for social robot autonomous navigation
considering nonlinear dynamics model",2025,PLOS ONE,,10.1371/journal.pone.0324341,,"Reinforcement learning (RL) has demonstrated significant potential in
social robot autonomous navigation, yet existing research lacks in-depth
discussion on the feasibility of navigation strategies. Therefore, this
paper proposes an Integrated Decision-Control Framework for Social Robot
Autonomous Navigation (IDC-SRAN), which accounts for the nonlinearity of
social robot model and ensures the feasibility of decision-control
strategy. Initially, inverse reinforcement learning (IRL) is employed to
tackle the challenge of designing pedestrian walking reward.
Subsequently, the Four-Mecanum-Wheel Robot dynamic model is constructed
to develop IDC-SRAN, resolving the issue of dynamics mismatch of RL
system. The actions of IDC-SRAN are defined as additional torque, with
actual torque and lateral/longitudinal velocities integrated into the
state space. The feasibility of the decision-control strategy is ensured
by constraining the range of actions. Furthermore, a critical challenge
arises from the state delay caused by model transient characteristics,
which complicates the articulation of nonlinear relationships between
states and actions through IRL-based rewards. To mitigate this, a
driving-force-guided reward is proposed. This reward guides the robot to
explore more appropriate decision-control strategies by expected
direction of driving force, thereby reducing non-optimal behaviors
during transient phases. Experimental results demonstrate that IDC-SRAN
achieves peak accelerations approximately 8.3\% of baseline methods,
significantly enhancing the feasibility of decision-control strategies.
Simultaneously, the framework enables goal-oriented autonomous
navigation through active torque modulation, attaining a task completion
rate exceeding 90\%. These outcomes further validate the intelligence
and robustness of the proposed IDC-SRAN.",
