ID,ENTRYTYPE,author,title,year,journal,booktitle,publisher,volume,number,pages,doi,url,abstract
doi:https://doi.org/10.1002/9781394198252.ch13,inbook,"Oliver Joel, G.; Rosary, B. Jafrin; Krishnamurthy, Vallidevi; Sujithra @ Kanmani; Balasubramanian, Surendiran",Cobot-Aided System for Hydroponically Grown Plants,2025,,Intelligent Robots and Cobots,"John Wiley & Sons, Ltd",,,267-290,https://doi.org/10.1002/9781394198252.ch13,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394198252.ch13,"Summary Plants are widely acknowledged as being a crucial component of a sustainable world, capable of sustaining humans through various challenges in life. They typically require sufficient amounts of sunlight, water, and nutrient-rich soil to flourish. However, can plants survive without these prerequisites? This chapter discusses “hydroponics,” i.e., the subset of horticulture that deals with soil-less growing methods, and how it can aid plant growth. Additionally, Cobots are utilized to simplify the process and provide further assistance to plant survival. Ultimately, hydroponics and Cobots work in conjunction to create an efficient and effective system for growing plants. Existing traditional farming systems can lead to soil degradation, reduced crop yields, and water scarcity due to high water usage for irrigation. Additionally, the use of chemicals such as fertilizers and pesticides can contribute to environmental pollution and harm wildlife. Moreover, traditional farming methods often include laborious working hours for the farmers, which might lead to poor health. Cobot-aided hydroponics farming offers numerous advantages that can improve the productivity, sustainability, and efficiency of farming while reducing labor costs and environmental impact."
doi:https://doi.org/10.1002/9781119842026.ch17,inbook,"Krishna, Rao S.; Fernandes, Lawrence J.",An Overview of Collaborative Robots and Their Applications,2023,,Self‐Powered Cyber Physical Systems,"John Wiley & Sons, Ltd",,,309-319,https://doi.org/10.1002/9781119842026.ch17,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119842026.ch17,"Summary Modest program design and the capacity of robots to complete tasks alongside human workforces devoid of the need for bulky, space-consuming barriers were thought to offer the missing link toward flexible manufacturing. However, before these expectations can be realized, we must first determine the present hurdles and development needs for collaborative robots from both a technical and a human perspective. Academics manufacturers and distributors of robots, system integrators, consumers, and educators are all involved and responded to an online survey about the deployment of collaborative robots. There is lack of awareness of prospective The most critical factors were applications, source cases, security legislation, and easiness of use—an essential hurdle to using collaborative robots in all categories. New techniques of dividing work between human workers and collaborative robots, as well as safety technology, were the most pressing development needs. There was a mismatch in the responses from representatives from various industries. The current needs of the industry are described in this paper, demonstrating that slightly different challenges have been raised in academics. Aside from discovering new ways to collaborate with collaborative robots, safety is still a problem, and there is a general lack of understanding of collaborative robots in industries."
https://doi.org/10.1111/jcal.12872,article,"LeTendre, Gerald K.; Gray, Raisa",Social robots in a project-based learning environment: Adolescent understanding of robot–human interactions,2024,Journal of Computer Assisted Learning,,,40,1,192-204,https://doi.org/10.1111/jcal.12872,https://onlinelibrary.wiley.com/doi/abs/10.1111/jcal.12872,"Abstract Background Although human–robotic interaction is a rapidly burgeoning area of study within education, and social robots are being widely tested for use in schools, few studies have focused on early adolescent interactions with robots under actual classroom conditions. Objectives We introduced an autonomous, social robot (‘Pepper’) into a project-based learning environment at a public elementary/middle school in order to see how long-term exposure to a robot in a project-based classroom affected student conceptions of robots. Methods We conducted unstructured classroom observations, focus-group interviews with students, and took videos of students interacting with the robot at key points in the project. We engaged in joint coding and memo writing to summarize key themes. Results Our results showed the limitations of these social robots as interactive educational technology, but also revealed the complexity of young adolescent beliefs about robots as social actors. Although current technology limits the ability of robots to be widely deployed in public-school classrooms, skillfully designed interventions using social robots have the potential to motivate and engage students. Takeaways Exposure to the robot stimulated students to discuss robots as social actors, raised issues about gender identification of artificial agents in the classroom, and stimulated discussion on what constitutes a social being. The initial novelty of the humanoid robot enhanced engagement with the longer-term project and also challenged teachers to be more reflective and flexible in planning the project."
https://doi.org/10.1002/smr.2608,article,"Görer, Binnur; Aydemir, Fatma Başak",RoboREIT: An interactive robotic tutor with instructive feedback component for requirements elicitation interview training,2024,Journal of Software: Evolution and Process,,,36,5,e2608,https://doi.org/10.1002/smr.2608,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2608,"Abstract Interviewing stakeholders is the most popular technique for eliciting requirements. The success of an interview depends on the interviewer's theoretical knowledge, preparedness, and communication skills. Practice interviews allow students to apply their knowledge and improve their skills through experience. This practical training is resource-intensive, requiring the time and effort of a stakeholder for each student, which may not be feasible for a large number of students. This paper introduces RoboREIT, an interactive Robotic tutor for Requirements Elicitation Interview Training. RoboREIT addresses the scalability problem of practice sessions with a robotic tutor acting as a stakeholder during the interview and providing feedback after the interview. We performed an exploratory user study to evaluate RoboREIT and demonstrate its applicability in requirements elicitation interview training. The quantitative and qualitative analyses of the users' responses reveal the appreciation of RoboREIT. Our study is the first in the literature that utilizes a social robot in requirements elicitation interview education. RoboREIT's design incorporates replaying faulty interview stages and allows the student to learn from mistakes by a second time practicing. All participants praised the feedback component, which is not present in the state of the art, for being helpful in identifying the mistakes. A favorable response rate of 81\% for the system's usefulness indicates the positive perception of the participants."
https://doi.org/10.1049/csy2.12112,article,"Sadeghian, Rasoul; Shahin, Shahrooz; Sareh, Sina",ROSIC: Enhancing secure and accessible robot control through open-source instant messaging platforms,2024,IET Cyber-Systems and Robotics,,,6,2,e12112,https://doi.org/10.1049/csy2.12112,https://onlinelibrary.wiley.com/doi/abs/10.1049/csy2.12112,"Abstract Ensuring secure communication and seamless accessibility remains a primary challenge in controlling robots remotely. The authors propose a novel approach that leverages open-source instant messaging platforms to overcome the complexities and reduce costs associated with implementing a secure and user-centred communication system for remote robot control named Robot Control System using Instant Communication (ROSIC). By leveraging features, such as real-time messaging, group chats, end-to-end encryption and cross-platform support inherent in the majority of instant messenger platforms, we have developed middleware that establishes a secure and efficient communication system over the Internet. By using instant messaging as the communication interface between users and robots, ROSIC caters to non-technical users, making it easier for them to control robots. The architecture of ROSIC enables various scenarios for robot control, including one user controlling multiple robots, multiple users controlling one robot, multiple robots controlled by multiple users, and one user controlling one robot. Furthermore, ROSIC facilitates the interaction of multiple robots, enabling them to interoperate and function collaboratively as a swarm system by providing a unified communication platform that allows for seamless exchange of data and commands. Telegram was specifically chosen as the instant messaging platform by the authors due to its open-source nature, robust encryption, compatibility across multiple platforms and interactive communication capabilities through channels and groups. Notably, the ROSIC is designed to communicate effectively with robot operating system (ROS)-based robots to enhance our ability to control them remotely."
doi:https://doi.org/10.1002/9781394195336.ch9,inbook,"Jeyabalan, Jeyalakshmi; Berna, Eugene; Samuel, Prithi; Vijean, Vikneswaran",Cobots in Smart Manufacturing and Production for Industry 5.0,2024,,Digital Twins in Industrial Production and Smart Manufacturing,"John Wiley & Sons, Ltd",,,201-220,https://doi.org/10.1002/9781394195336.ch9,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394195336.ch9,"Summary Industry 5.0 has brought the dawn of advanced human-centric and customized applications. It offers a blend of cutting-edge technologies for the welfare of mankind. The incorporation of machine learning, cyber-physical systems, and automation is a perfect combination for building high-end applications for repeatable, sustainable, and customizable products or processes. It paves the way for future industries' both commercial and noncommercial applications and even personalized healthcare. Under the taboo, Cobots are collaborative robots working with humans to rigorously incorporate infrastructure for any application not only restricted to manufacturing. Imbibing the notion of machine learning and digital twins has proved to build lot of expectation around the technology. The cobot technology overcomes the major challenges of Industry 5.0 like work polarization and training workforce. The safety perspective is also incorporated by incorporation of universal standards. The threat of security attack can be thwarted using proper security measures. Thus, Industry 5.0 hand in hand with cobots can usher the growth of industries toward human welfare."
doi:https://doi.org/10.1002/9781394198252.ch2,inbook,"Lipsa, Swati; Dash, Ranjan Kumar",Cobots as an Enabling Technique for Industry 5.0,2025,,Intelligent Robots and Cobots,"John Wiley & Sons, Ltd",,,19-42,https://doi.org/10.1002/9781394198252.ch2,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394198252.ch2,"Summary Industry 5.0 provides human interventions in critical decision-making processes in different industries like manufacturing, healthcare, and supply chain management. The use of automated robots is a key component of Industry 4.0, which faces difficulty embedding human intellect whenever required. In contrast, cobots are collaborative robots with the inherent ability to integrate artificial intelligence and human intelligence for different decision-making processes. This redirection of human ingenuity into environments in which trained individuals engage with robots is important because market demand and customer needs are abstaining from large-scale production, and consumers are expecting significantly more customization and personalization of the goods they purchase. The involvement of humans facilitates the work of robots in various disruptive activities across several industries. The digital twin, edge computing, fog computing, the Internet-of-Everything, and cobots are the main enabling techniques for implementing Industry 5.0 in reality. Industry 5.0 and collaborative robots herald the dawn of a new era in robotics and industrial production. The success of Industry 5.0 is largely dependent on how well its enabling techniques, like cobots, have been implemented to solve real-time problems. The work carried out in this article is primarily concerned with the role of cobots in the successful implementation of Industry 5.0. The potential applications of cobots in various industries are explored. The industries of interest are the manufacturing industry, the aircraft industry, the healthcare sector, and the banking sector, to name a few. A comparison of the workings of robots and cobots is presented, highlighting the key differences between them. A conceptual cobot-based cyber-physical system is presented. The explicit use of human intelligence in different domains of application is explored. Finally, the risks and security threats to cobots are discussed, along with some mitigation techniques."
https://doi.org/10.1002/hfm.70016,article,"Pollak, Anita; Biolik, Elżbieta; Chudzicka-Czupała, Agata","New Luddites? Counterproductive Work Behavior and Its Correlates, Including Work Characteristics, Stress at Work, and Job Satisfaction Among Employees Working With Industrial and Collaborative Robots",2025,Human Factors and Ergonomics in Manufacturing \& Service Industries,,,35,4,e70016,https://doi.org/10.1002/hfm.70016,https://onlinelibrary.wiley.com/doi/abs/10.1002/hfm.70016,"ABSTRACT Human-robot interaction (HRI) is integral to Industry 4.0, yet its psychological aspects remain insufficiently explored. In particular, relatively little is known about differences in the organizational and individual factors contributing to counterproductive work behaviors (CWB) among employees working with industrial robots and collaborative robots (cobots). This deficiency highlights the need to deepen our understanding of socially undesirable organizational behaviors that might occur in HRI and their potential correlates to better align with the human-centered focus of the evolving Industry 5.0. The first aim of our study was to investigate whether work characteristics, job satisfaction, and stress at work are related to CWB (overall and in two dimensions—sabotage and withdrawal) in the total sample and the two subgroups, including industrial robot operators and cobot operators. Based on the stressor-emotion model of CWB, we expected that these organizational and individual factors would contribute to CWB among employees working with robots. The second aim of our study was to examine differences in CWB and its potential correlates (i.e., work characteristics, work stress, and job satisfaction) among industrial robot operators and cobot operators. We found no significant correlation between work stress and CWB, including its dimensions of sabotage and withdrawal. However, our results showed that cobot operators reported more favorable physical work conditions and ergonomics, lower work stress, higher job satisfaction, and greater overall CWB compared to industrial robot operators. These results underscore the distinctive psychological dynamics in HRI among industrial robot operators and cobot operators, which might contribute to differences in CWB in both groups of employees. Our study also suggests potential directions for future research on the predictors of CWB and moderators and mediators of the stress-CWB relationship in robotic work environments."
doi:https://doi.org/10.1002/9781119842026.fmatter,inbook,,Front Matter,2023,,Self‐Powered Cyber Physical Systems,"John Wiley & Sons, Ltd",,,i-xxiii,https://doi.org/10.1002/9781119842026.fmatter,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119842026.fmatter,The prelims comprise: Half-Title Page Publisher Page Title Page Copyright Page Table of Contents Preface Acknowledgements
https://doi.org/10.1155/2024/2918089,article,"Rahman, Md. Mijanur; Khatun, Fatema; Jahan, Ismat; Devnath, Ramprosad; Bhuiyan, Md. Al-Amin",Cobotics: The Evolving Roles and Prospects of Next-Generation Collaborative Robots in Industry 5.0,2024,Journal of Robotics,,,2024,1,2918089,https://doi.org/10.1155/2024/2918089,https://onlinelibrary.wiley.com/doi/abs/10.1155/2024/2918089,"The emergence of Industry 5.0 marks a transformative era in manufacturing industry that is driven by the integration of advanced technologies. It is a renewed focus on human–robot collaboration. At the forefront of this industrial revolution stands Cobotics, a field that emphasizes the cooperative interaction between humans and robots in shared workspaces. This research paper delves into the critical role and implications of Cobotics in the context of Industry 5.0. The study addresses the research problem of effectively integrating Cobots into industrial processes, considering technical, economic, and social challenges. The paper’s objectives include surveying existing literature, analyzing developments and trends, showcasing real-world examples, and proposing future research directions. A comprehensive literature review explores Cobotics’ foundations and its alignment with Industry 5.0 principles. The research presents real-world examples of successful Cobot integration across various industries, demonstrating benefits such as increased productivity, improved quality, and enhanced worker safety. The paper identifies gaps in existing knowledge and contributions to the field, emphasizing the need for research in simplified programming, cost–benefit analysis, and ethical frameworks. This research paper illuminates the central role of Cobotics in Industry 5.0, where human–robot collaboration, innovation, and inclusivity are paramount. It anticipates a future where Cobotics will continue to evolve, shaping industries, empowering the workforce, and driving sustainable, data-driven industrial transformations."
